File	longest	second_longest	completeness
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_1700min/longreads/medaka_consensus/consensus.fasta	3098844	1046860	1.0002900227819893
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_1800min/longreads/medaka_consensus/consensus.fasta	3098379	1046846	1.000174447979516
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_1900min/longreads/medaka_consensus/consensus.fasta	3098383	1046861	1.000179032366253
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_2000min/longreads/medaka_consensus/consensus.fasta	3098347	1046861	1.000170346159804
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_2100min/longreads/medaka_consensus/consensus.fasta	3098357	1046870	1.0001749305465408
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_2200min/longreads/medaka_consensus/consensus.fasta	3098359	1046871	1.0001756543970783
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_2300min/longreads/medaka_consensus/consensus.fasta	3098377	1046863	1.0001780672322031
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_2400min/longreads/medaka_consensus/consensus.fasta	3098368	1046879	1.0001797562167904
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_2500min/longreads/medaka_consensus/consensus.fasta	3098365	1046867	1.0001761369641033
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_2600min/longreads/medaka_consensus/consensus.fasta	3098368	1046876	1.000179032366253
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_2700min/longreads/medaka_consensus/consensus.fasta	3098346	1046867	1.0001715525773665
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_2800min/longreads/medaka_consensus/consensus.fasta	3098380	1046866	1.000179514933278
